States,Hate Crimes Reported,"Hate Crimes/100,000",Male Supremacy,Anti-Immigrant,KKK,Rad Trad Cath,White Nationalism,Anti-LGBT,Anti-Muslim,Black Nationalists,Christian Identity,General Hate,Hate Music,Holocaust Denial,Neo Confederate,Neo Nazi,Neo Volkisch,Skin Head,median_household_income,share_unemployed_seasonal,share_population_in_metro_areas,share_population_with_high_school_degree,share_non_citizen,share_white_poverty,gini_index,share_non_white,share_voters_voted_trump,hate_crimes_per_100k_splc,avg_hatecrimes_per_100k_fbi
Indiana,55,0.837311196,0,0,3,1,5,1,4,2,0,3,0,0,0,5,2,5,48060,0.044,0.79,0.866,0.03,0.12,0.44,0.2,0.57,0.247008877,1.757356567
Iowa,11,0.355581301,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,57810,0.036,0.6,0.914,0.03,0.09,0.427,0.15,0.52,0.454427421,0.561395565
Kansas,75,2.592476219,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,53444,0.044,0.64,0.897,0.04,0.11,0.445,0.25,0.57,0.105152471,2.143986672
Kentucky,378,8.596080415,0,0,2,0,0,0,0,5,1,0,0,0,1,2,0,0,42786,0.05,0.56,0.817,0.03,0.17,0.466,0.15,0.63,0.324396969,4.207889621
Louisiana,26,0.562131412,0,0,0,0,0,1,1,8,1,0,0,0,0,1,0,1,42406,0.06,0.81,0.822,0.02,0.12,0.475,0.42,0.58,0.109733348,1.341169554
Maine,32,2.407644271,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,51710,0.044,0.54,0.902,,0.12,0.437,0.09,0.45,0.615574023,2.626610924
Maryland,48,0.809370077,0,0,3,0,3,0,2,4,0,2,1,1,0,1,0,2,76165,0.051,0.97,0.89,0.08,0.06,0.443,0.5,0.35,0.37043897,1.324839538
Massachusetts,427,2.407644271,0,0,0,0,0,2,1,4,0,1,0,0,0,2,0,0,63151,0.046,0.97,0.89,0.09,0.08,0.475,0.27,0.34,0.630810592,4.801899339
Michigan,456,4.605794959,0,1,1,0,5,0,3,7,1,1,1,1,0,6,1,1,52005,0.05,0.87,0.879,0.04,0.09,0.451,0.24,0.48,0.403779375,3.200442266
Minnesota,146,2.694139011,0,0,0,1,2,0,1,2,0,1,1,0,0,1,2,1,67244,0.038,0.75,0.915,0.05,0.05,0.44,0.18,0.45,0.62747993,3.612411816
Mississippi,1,0.033466295,0,0,7,0,0,1,0,2,0,0,0,0,3,1,0,0,35521,0.061,0.45,0.804,,0.14,0.468,0.44,0.58,0.067446801,0.622745989
Missouri,105,1.736843986,0,0,1,0,2,1,2,6,1,1,0,0,0,3,0,1,56630,0.053,0.78,0.868,0.02,0.07,0.455,0.2,0.57,0.18452351,1.908954989
Montana,15,1.478270896,0,0,0,0,3,0,4,0,0,0,0,0,0,1,0,0,51102,0.041,0.34,0.908,0.01,0.1,0.435,0.1,0.57,0.495491032,2.954959378
Nebraska,45,2.407234542,0,0,0,0,1,0,1,2,1,0,0,0,0,4,0,0,56870,0.029,0.6,0.898,0.05,0.07,0.432,0.21,0.6,0.159489633,2.68624842
Nevada,5,0.178658461,0,0,0,0,1,0,1,3,0,1,0,0,0,3,0,0,49875,0.067,0.87,0.839,0.1,0.08,0.448,0.5,0.46,0.14167316,2.113990154
New Hampshire,13,0.981724074,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,3,73397,0.034,0.63,0.913,0.03,0.06,0.425,0.09,0.47,0.151549595,2.105988585
New Jersey,495,5.559041343,0,0,0,0,2,0,0,9,0,0,2,0,0,2,0,2,65243,0.056,1,0.874,0.11,0.07,0.464,0.44,0.42,0.078305908,4.413202591
New Mexico,7,0.335873658,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46686,0.068,0.69,0.828,0.06,0.1,0.464,0.62,0.4,0.294811321,1.886435184
New York,552,2.805851257,0,0,2,2,7,2,4,15,0,6,2,1,0,4,0,3,54310,0.051,0.94,0.847,0.1,0.1,0.499,0.42,0.37,0.350620446,3.102164284
North Carolina,166,1.686078064,0,2,4,0,1,2,2,10,0,1,0,0,2,3,0,5,46784,0.058,0.76,0.843,0.05,0.1,0.464,0.38,0.51,0.244006588,1.262679796
Ohio,380,3.282660289,0,0,4,1,0,4,4,9,1,0,0,0,0,7,1,0,49644,0.045,0.75,0.876,0.03,0.1,0.452,0.21,0.52,0.190713964,3.240420404
Oklahoma,37,0.961105614,0,0,0,0,0,0,1,6,1,0,0,0,0,2,0,0,47199,0.044,0.59,0.856,0.04,0.1,0.454,0.35,0.65,0.133629099,1.08167215
Oregon,146,3.706305263,0,1,1,0,3,0,1,3,0,1,0,0,0,3,1,4,58875,0.062,0.87,0.891,0.07,0.1,0.449,0.26,0.41,0.832849608,3.394886113
Pennsylvania,78,0.6103497,0,0,4,1,5,1,1,8,0,2,2,1,0,4,1,6,55173,0.053,0.87,0.879,0.03,0.09,0.461,0.24,0.49,0.285101092,0.43092759
Rhode Island,11,1.043979041,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,58633,0.054,1,0.847,0.08,0.08,0.467,0.28,0.4,0.095401641,1.282571834
South Carolina,87,1.821007138,0,0,1,0,3,1,0,4,0,0,0,0,2,2,1,0,44929,0.057,0.79,0.836,0.03,0.09,0.461,0.36,0.55,0.209894423,1.937082833
Tennessee,136,2.092431629,0,0,6,0,2,0,7,6,1,0,0,0,6,3,3,3,43716,0.057,0.82,0.831,0.04,0.13,0.468,0.27,0.61,0.19993848,3.13605115
Texas,190,0.715941072,1,1,4,1,6,5,13,20,1,4,1,1,2,4,1,1,53875,0.042,0.92,0.799,0.11,0.08,0.469,0.56,0.53,0.213583938,0.752768305
Utah,78,2.686524908,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,63383,0.036,0.82,0.904,0.04,0.08,0.419,0.19,0.47,0.136546733,2.384065044
Virginia,193,2.337515427,0,2,3,1,10,1,4,4,0,1,0,0,2,3,2,4,66155,0.043,0.89,0.866,0.06,0.07,0.459,0.38,0.45,0.363248898,1.724754584
Washington,510,7.300875074,0,1,2,0,5,1,4,5,1,0,0,0,0,2,1,4,59068,0.052,0.86,0.897,0.08,0.09,0.441,0.31,0.38,0.67748765,3.817740296
West Virginia,31,1.674390468,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,39552,0.073,0.55,0.828,0.01,0.14,0.451,0.07,0.69,0.328677075,2.037053631
Wisconsin,46,0.801098271,0,0,0,0,0,1,1,3,0,1,1,0,0,4,0,0,58080,0.043,0.69,0.898,0.03,0.09,0.43,0.22,0.48,0.226197105,1.121944651
